timestamp,station_id,city,aqi,pm25,pm10,no2,o3,temperature,humidity,wind_speed,wind_direction,precipitation
2024-01-01 00:00:00,station_0,Delhi,486.1,293.0,393.9,96.1,34.7,29.7,66.5,3.3,S,0.0
2024-01-01 01:00:00,station_0,Delhi,500.0,298.7,399.2,97.0,54.9,30.7,35.6,1.2,SE,1.8
2024-01-01 02:00:00,station_0,Delhi,425.3,252.2,345.0,85.6,33.6,25.2,48.5,2.2,W,0.0
2024-01-01 03:00:00,station_0,Delhi,457.0,277.0,362.1,88.6,36.5,25.6,56.3,1.6,SE,0.0
2024-01-01 04:00:00,station_0,Delhi,407.6,242.2,331.3,82.2,22.4,21.8,49.9,0.0,N,0.0
2024-01-01 05:00:00,station_0,Delhi,352.2,214.5,277.2,71.4,53.0,16.9,59.6,2.4,NE,0.0
2024-01-01 06:00:00,station_0,Delhi,346.2,206.8,274.9,71.6,31.0,15.7,63.3,5.0,NW,0.0
2024-01-01 07:00:00,station_0,Delhi,399.6,235.1,323.6,78.7,43.3,12.0,63.3,1.8,SE,0.0
2024-01-01 08:00:00,station_0,Delhi,347.9,216.1,275.7,68.0,35.0,17.1,69.0,3.1,NE,0.0
2024-01-01 09:00:00,station_0,Delhi,368.9,226.2,294.1,72.2,36.4,17.1,58.9,0.7,N,0.0
2024-01-01 10:00:00,station_0,Delhi,419.6,238.5,337.4,83.1,37.1,15.7,56.1,0.0,SE,0.0
2024-01-01 11:00:00,station_0,Delhi,437.6,262.5,350.0,89.2,29.5,16.9,63.0,0.0,E,0.0
2024-01-01 12:00:00,station_0,Delhi,428.9,256.4,344.6,85.7,28.3,18.0,61.0,0.6,NW,0.0
2024-01-01 13:00:00,station_0,Delhi,500.0,299.3,407.0,99.9,42.2,24.9,57.9,0.0,W,0.0
2024-01-01 14:00:00,station_0,Delhi,409.1,245.5,325.5,83.1,27.8,23.9,61.0,0.8,SE,0.0
2024-01-01 15:00:00,station_0,Delhi,417.2,246.1,337.2,87.2,44.0,28.8,72.5,1.8,W,0.0
2024-01-01 16:00:00,station_0,Delhi,437.7,263.9,354.1,85.1,26.8,31.1,73.6,6.3,NW,0.0
2024-01-01 17:00:00,station_0,Delhi,386.9,236.4,318.5,78.5,38.4,32.3,69.2,1.8,N,0.0
2024-01-01 18:00:00,station_0,Delhi,444.9,263.2,350.3,90.5,52.7,34.6,48.1,2.4,W,0.0
2024-01-01 19:00:00,station_0,Delhi,348.0,211.5,270.9,69.6,44.1,36.9,66.3,9.2,NW,0.0
2024-01-01 20:00:00,station_0,Delhi,443.8,269.4,350.7,86.6,44.8,36.1,87.3,1.3,SE,0.0
2024-01-01 21:00:00,station_0,Delhi,357.4,217.5,276.2,72.2,40.5,34.2,63.3,3.9,SE,0.0
2024-01-01 22:00:00,station_0,Delhi,414.4,252.2,332.0,84.1,57.6,30.6,55.5,3.4,NW,0.0
2024-01-01 23:00:00,station_0,Delhi,485.1,295.5,385.9,97.9,32.7,29.9,46.9,0.0,W,0.0
2024-01-02 00:00:00,station_0,Delhi,500.0,302.6,419.3,101.1,51.4,28.8,63.0,0.5,NW,0.0
2024-01-02 01:00:00,station_0,Delhi,441.7,260.5,351.1,87.5,46.0,27.3,44.4,5.2,NE,0.0
2024-01-02 02:00:00,station_0,Delhi,428.1,259.6,336.1,90.4,58.4,27.2,60.6,0.0,W,0.0
2024-01-02 03:00:00,station_0,Delhi,418.6,260.1,331.5,80.6,36.6,21.4,75.9,0.8,SW,0.0
2024-01-02 04:00:00,station_0,Delhi,434.2,252.9,344.9,89.4,32.9,22.5,63.8,4.6,N,0.0
2024-01-02 05:00:00,station_0,Delhi,358.2,218.4,289.6,70.7,19.1,17.4,57.2,1.6,S,0.0
2024-01-02 06:00:00,station_0,Delhi,436.5,262.2,360.9,88.1,49.1,13.5,55.6,1.5,SE,0.0
2024-01-02 07:00:00,station_0,Delhi,403.8,237.1,324.0,81.7,44.7,15.6,71.7,3.0,SE,0.0
2024-01-02 08:00:00,station_0,Delhi,415.8,246.5,336.9,83.9,33.1,14.8,55.1,2.1,S,0.0
2024-01-02 09:00:00,station_0,Delhi,438.9,271.4,353.8,87.0,34.5,15.2,37.8,4.0,NW,0.0
2024-01-02 10:00:00,station_0,Delhi,465.3,277.1,373.5,93.1,49.3,15.9,57.8,2.9,NW,0.0
2024-01-02 11:00:00,station_0,Delhi,405.7,236.7,307.7,83.4,61.4,16.2,63.9,1.6,S,0.0
2024-01-02 12:00:00,station_0,Delhi,496.3,302.6,396.3,97.6,36.8,21.3,53.0,0.1,SE,0.0
2024-01-02 13:00:00,station_0,Delhi,494.5,294.2,388.8,95.7,40.8,23.4,60.6,0.2,NW,0.0
2024-01-02 14:00:00,station_0,Delhi,392.5,225.3,321.9,77.9,40.0,22.2,52.8,1.7,SE,0.0
2024-01-02 15:00:00,station_0,Delhi,480.6,282.8,388.3,95.0,15.4,28.5,66.5,1.5,N,0.0
2024-01-02 16:00:00,station_0,Delhi,387.3,232.8,305.9,77.5,45.0,30.9,60.7,4.2,N,0.0
2024-01-02 17:00:00,station_0,Delhi,357.5,210.1,284.8,69.5,35.1,30.1,74.4,1.4,SE,0.0
