timestamp,station_id,city,pm10,pm25,no2,o3,temperature,humidity,wind_speed,wind_direction,precipitation,aqi
2026-06-26 00:00:00,station_delhi_01,Delhi,233.3,83.4,51.4,43.0,33.0,46,4.9,N,0.0,178.0
2026-06-26 01:00:00,station_delhi_01,Delhi,207.2,83.4,55.8,33.0,32.9,48,1.5,SW,0.0,178.0
2026-06-26 02:00:00,station_delhi_01,Delhi,202.1,86.1,59.6,26.0,32.4,50,2.7,SW,0.0,187.0
2026-06-26 03:00:00,station_delhi_01,Delhi,205.4,88.2,63.7,17.0,32.1,52,3.1,SW,0.0,194.0
2026-06-26 04:00:00,station_delhi_01,Delhi,207.7,91.0,67.3,10.0,31.3,54,6.4,SW,0.0,203.33333333333334
2026-06-26 05:00:00,station_delhi_01,Delhi,202.1,105.7,64.3,23.0,29.8,67,5.8,SW,0.0,252.33333333333334
2026-06-26 06:00:00,station_delhi_01,Delhi,188.6,101.5,55.0,41.0,30.3,65,4.6,SW,0.0,238.33333333333334
2026-06-26 07:00:00,station_delhi_01,Delhi,186.7,89.9,41.8,68.0,31.8,59,4.9,W,0.1,199.66666666666669
2026-06-26 08:00:00,station_delhi_01,Delhi,196.0,79.2,30.0,98.0,34.0,50,5.2,W,0.0,164.0
2026-06-26 09:00:00,station_delhi_01,Delhi,200.2,77.3,20.9,136.0,35.9,42,4.5,W,0.0,157.66666666666666
2026-06-26 10:00:00,station_delhi_01,Delhi,177.4,69.8,13.0,177.0,37.6,38,4.3,W,0.0,132.66666666666666
2026-06-26 11:00:00,station_delhi_01,Delhi,155.5,62.2,7.4,206.0,39.4,33,5.0,W,0.0,107.33333333333334
2026-06-26 12:00:00,station_delhi_01,Delhi,137.4,52.3,4.7,214.0,39.9,31,4.1,W,0.0,87.16666666666666
2026-06-26 13:00:00,station_delhi_01,Delhi,152.3,51.3,4.2,209.0,40.5,29,3.4,W,0.0,85.5
2026-06-26 14:00:00,station_delhi_01,Delhi,155.1,51.1,4.7,198.0,40.7,29,2.4,W,0.0,85.16666666666666
2026-06-26 15:00:00,station_delhi_01,Delhi,156.9,48.9,5.3,183.0,40.7,28,4.1,NW,0.0,81.5
2026-06-26 16:00:00,station_delhi_01,Delhi,195.1,52.2,6.9,163.0,37.6,35,7.4,SE,0.4,87.0
2026-06-26 17:00:00,station_delhi_01,Delhi,156.5,51.7,12.7,161.0,30.7,71,6.9,E,0.6,86.16666666666667
2026-06-26 18:00:00,station_delhi_01,Delhi,151.8,57.2,19.1,143.0,35.4,39,2.9,SE,0.1,95.33333333333334
2026-06-26 19:00:00,station_delhi_01,Delhi,155.1,65.7,28.2,118.0,35.4,38,4.3,SW,0.0,119.0
2026-06-26 20:00:00,station_delhi_01,Delhi,170.9,65.7,36.6,95.0,35.4,39,4.0,SW,0.0,119.0
