timestamp,station_id,city,aqi,pm25,pm10,no2,o3,temperature,humidity,wind_speed,wind_direction,precipitation
2026-04-11 00:00:00,station_0,Delhi,707,130.9,789.8,12.3,115.0,0.0,0.0,0.0,N,0.0
2026-04-11 01:00:00,station_0,Delhi,723,121.5,709.7,10.8,114.0,0.0,0.0,0.0,N,0.0
2026-04-11 02:00:00,station_0,Delhi,736,111.5,642.6,9.8,112.0,0.0,0.0,0.0,N,0.0
2026-04-11 03:00:00,station_0,Delhi,746,102.0,586.7,9.4,109.0,0.0,0.0,0.0,N,0.0
2026-04-11 04:00:00,station_0,Delhi,754,93.1,532.7,9.6,106.0,0.0,0.0,0.0,N,0.0
2026-04-11 05:00:00,station_0,Delhi,760,98.0,540.2,10.7,97.0,0.0,0.0,0.0,N,0.0
2026-04-11 06:00:00,station_0,Delhi,762,93.4,521.5,13.1,97.0,0.0,0.0,0.0,N,0.0
2026-04-11 07:00:00,station_0,Delhi,764,95.0,529.0,16.1,99.0,0.0,0.0,0.0,N,0.0
2026-04-11 08:00:00,station_0,Delhi,769,99.0,601.6,17.2,105.0,0.0,0.0,0.0,N,0.0
2026-04-11 09:00:00,station_0,Delhi,773,98.0,614.7,14.3,122.0,0.0,0.0,0.0,N,0.0
2026-04-11 10:00:00,station_0,Delhi,778,88.2,536.4,9.5,144.0,0.0,0.0,0.0,N,0.0
2026-04-11 11:00:00,station_0,Delhi,779,77.1,478.7,5.7,160.0,0.0,0.0,0.0,N,0.0
2026-04-11 12:00:00,station_0,Delhi,770,74.3,495.5,4.1,166.0,0.0,0.0,0.0,N,0.0
2026-04-11 13:00:00,station_0,Delhi,754,72.2,516.0,3.7,167.0,0.0,0.0,0.0,N,0.0
2026-04-11 14:00:00,station_0,Delhi,730,69.4,514.1,4.0,165.0,0.0,0.0,0.0,N,0.0
2026-04-11 15:00:00,station_0,Delhi,698,68.5,532.7,4.6,161.0,0.0,0.0,0.0,N,0.0
2026-04-11 16:00:00,station_0,Delhi,663,68.0,542.0,6.0,153.0,0.0,0.0,0.0,N,0.0
2026-04-11 17:00:00,station_0,Delhi,627,53.2,371.6,10.1,147.0,0.0,0.0,0.0,N,0.0
2026-04-11 18:00:00,station_0,Delhi,594,62.9,366.9,19.6,126.0,0.0,0.0,0.0,N,0.0
2026-04-11 19:00:00,station_0,Delhi,558,75.0,368.8,32.3,96.0,0.0,0.0,0.0,N,0.0
2026-04-11 20:00:00,station_0,Delhi,523,83.6,446.1,39.4,76.0,0.0,0.0,0.0,N,0.0
2026-04-11 21:00:00,station_0,Delhi,491,94.3,579.3,35.5,73.0,0.0,0.0,0.0,N,0.0
